,CELL_LINE_NAME,DRUG_NAME,MAX_CONC_MICROMOLAR,IC50
1,MC-CAR,Docetaxel,0.0125,0.007316502
2,PFSK-1,Docetaxel,0.0125,0.001761165
3,ES5,Docetaxel,0.0125,0.001183628
4,ES7,Docetaxel,0.0125,0.000549735
5,EW-11,Docetaxel,0.0125,0.001663807
6,SK-ES-1,Docetaxel,0.0125,0.011961394
7,NCI-H1395,Docetaxel,0.0125,0.004048544
8,5637,Docetaxel,0.0125,0.000224669
9,RT4,Docetaxel,0.0125,0.019833894
10,SW780,Docetaxel,0.0125,0.000941487
11,C-33-A,Docetaxel,0.0125,0.002754551
12,C-4-I,Docetaxel,0.0125,0.002720627
13,ME-180,Docetaxel,0.0125,0.004036998
14,42-MG-BA,Docetaxel,0.0125,0.001148857
15,8-MG-BA,Docetaxel,0.0125,0.00075689
16,GB-1,Docetaxel,0.0125,0.006561743
17,T98G,Docetaxel,0.0125,0.001571418
18,U-118-MG,Docetaxel,0.0125,0.025028227
19,U-87-MG,Docetaxel,0.0125,0.006232735
20,YKG-1,Docetaxel,0.0125,0.000914103
21,NCI-H720,Docetaxel,0.0125,0.010547009
22,Calu-3,Docetaxel,0.0125,0.069903819
23,COR-L23,Docetaxel,0.0125,0.002881509
24,LK-2,Docetaxel,0.0125,0.001840737
25,NCI-H1437,Docetaxel,0.0125,0.002344678
26,NCI-H1623,Docetaxel,0.0125,0.011158586
27,NCI-H1648,Docetaxel,0.0125,0.005522426
28,NCI-H1693,Docetaxel,0.0125,0.048677469
29,NCI-H1770,Docetaxel,0.0125,0.034468687
30,NCI-H1838,Docetaxel,0.0125,0.193636033
31,NCI-H2126,Docetaxel,0.0125,0.012752614
32,NCI-H2342,Docetaxel,0.0125,0.031983376
33,NCI-H2347,Docetaxel,0.0125,0.013771087
34,NCI-H2405,Docetaxel,0.0125,0.045679119
35,NCI-H661,Docetaxel,0.0125,0.00767986
36,DMS-114,Docetaxel,0.0125,0.006685382
37,DMS-273,Docetaxel,0.0125,0.000938952
38,NCI-H1048,Docetaxel,0.0125,0.002488366
39,NCI-H1092,Docetaxel,0.0125,0.160953303
40,NCI-H1417,Docetaxel,0.0125,0.01492898
41,NCI-H1694,Docetaxel,0.0125,0.044665048
42,NCI-H187,Docetaxel,0.0125,0.068707082
43,NCI-H1963,Docetaxel,0.0125,0.00796294
44,NCI-H2029,Docetaxel,0.0125,0.058038947
45,NCI-H209,Docetaxel,0.0125,0.011947431
46,NCI-H2141,Docetaxel,0.0125,0.063691893
47,NCI-H2227,Docetaxel,0.0125,0.01179128
48,NCI-H345,Docetaxel,0.0125,0.206271916
49,NCI-H446,Docetaxel,0.0125,0.007510464
50,NCI-H526,Docetaxel,0.0125,0.008781123
51,NCI-H64,Docetaxel,0.0125,0.025072867
52,NCI-H69,Docetaxel,0.0125,0.024517601
53,NCI-H82,Docetaxel,0.0125,0.005535009
54,NCI-H2052,Docetaxel,0.0125,0.008122608
55,SK-N-DZ,Docetaxel,0.0125,0.012186275
56,SK-N-FI,Docetaxel,0.0125,0.028611601
57,VA-ES-BJ,Docetaxel,0.0125,0.000680116
